date,sales,marketing_spend
2021-01-01,99.33,54.97
2021-02-01,101.19,49.04
2021-03-01,131.36,57.33
2021-04-01,141.31,66.51
2021-05-01,124.24,49.36
2021-06-01,122.17,49.79
2021-07-01,126.24,68.35
2021-08-01,106.71,60.65
2021-09-01,79.45,48.71
2021-10-01,88.65,59.26
2021-11-01,90.29,49.62
2021-12-01,106.94,50.02
2022-01-01,122.8,57.53
2022-02-01,124.49,36.4
2022-03-01,134.85,38.71
2022-04-01,150.18,50.76
2022-05-01,155.07,46.68
2022-06-01,159.9,60.38
2022-07-01,130.44,48.58
2022-08-01,119.26,43.96
2022-09-01,130.56,73.17
2022-10-01,110.44,56.68
2022-11-01,124.31,60.04
2022-12-01,131.7,45.54
2023-01-01,148.34,54.77
2023-02-01,179.06,61.75
2023-03-01,161.49,49.55
2023-04-01,197.4,65.25
2023-05-01,184.36,55.91
2023-06-01,176.39,59.42
2023-07-01,163.33,56.75
2023-08-01,160.03,81.71
2023-09-01,145.43,63.48
2023-10-01,138.41,53.47
2023-11-01,165.55,72.69
2023-12-01,152.67,52.69
2024-01-01,180.12,67.41
2024-02-01,181.78,46.15
2024-03-01,207.36,52.89
2024-04-01,223.12,68.56
2024-05-01,221.61,74.41
2024-06-01,213.77,69.16
2024-07-01,196.86,66.72
2024-08-01,187.2,65.29
2024-09-01,160.92,53.94
2024-10-01,167.31,61.95
2024-11-01,175.55,64.97
2024-12-01,195.78,80.57
